Model,Accuracy,Sensitivity,Specificity,Precision,F1-Score,AUC-ROC,TP,FP,TN,FN
Wav2Vec 2.0 + DNDF,0.7854,0.5339,0.8627,0.5445,0.5391,0.7735,410,343,2156,358
AST + DNDF,0.7966,0.5024,0.8332,0.2728,0.3536,0.6910,728,1941,9697,721
